complaint_id,timestamp,complaint_text,true_train_number,true_coach_number,true_issue_category
COMP_0001,2026-06-24 06:33:42,"Your food quality is pathetic, train 12626. I had ordered veg thali but the dal was overcooked.",12626,,Food Quality
COMP_0002,2026-07-15 18:16:57,"Toh kya kar sakte hain, toilet me pani nahi aa raha hai coach S7 me, train 12004.",12004,S7,Water Availability
COMP_0003,2026-07-01 12:32:32,"Train mein delay karke kya hoga? Humne 2 baje se wait kiya, train 12423 to 4 baje se hi aa rahi hai.",12423,,Delay-related
COMP_0004,2026-07-04 17:39:59,"Bhai, AC is not working in coach B3, it's so hot here. Please do something.",,B3,Cleanliness
COMP_0005,2026-07-01 04:45:14,Food quality is very bad in train 12626. It looks like they just heated up the leftover from yesterday.,12626,,Food Quality
COMP_0006,2026-07-03 16:50:06,"Sahi hai kya yeh, toilet me pani nahi aa raha hai coach D2 me, train 12004?",12004,D2,Water Availability
COMP_0007,2026-07-07 21:37:06,"This is ridiculous, I asked for a refill of water in B2 coach but no one came.",,B2,Water Availability
COMP_0008,2026-07-07 14:33:14,"Bhai, please check the cleanliness of coach S7, train 12004. It smells like someone had their dog here.",12004,S7,Cleanliness
COMP_0009,2026-06-28 06:42:36,"Chalo, train 12423 to delay ho gai hai, abhi tak kuch bhi nahi hua, aur koi bhi nahi aaya hai.",12423,,Delay-related
COMP_0010,2026-07-07 09:52:52,"Please increase the frequency of water refills in B3 coach, it's getting very hot here.",,B3,Water Availability
COMP_0011,2026-07-15 01:41:22,"AC not working in coach B2, train 12951.",12951,B2,AC Failure
COMP_0012,2026-07-04 08:34:41,"H1 coach me bahut overcrowding hai, 12004 train me.",12004,H1,Overcrowding
COMP_0013,2026-07-04 23:43:11,"Toilet me pani nahi aa raha hai, coach A1 me 12951 train me.",12951,A1,Cleanliness
COMP_0014,2026-07-08 13:53:24,Staff ko thoda respect karna chahiye. B2 coach ka staff bahut rude tha.,,B2,Staff Behaviour
COMP_0015,2026-06-22 01:20:15,Kya train 12229 ki AC system to nahi hai? H1 coach me bahut garmi lagi.,12229,H1,AC Failure
COMP_0016,2026-07-14 21:01:39,S5 coach ka toilet to clean karo. Kuch din pehle hi toh pani nahi aa raha tha.,,S5,Cleanliness
COMP_0017,2026-07-01 22:53:16,Food quality to bahut bad hai train 12626 me.,12626,,
COMP_0018,2026-06-30 20:13:09,D1 coach ka staff bahut helpful tha. Unka dhanyawad.,,D1,Staff Behaviour
COMP_0019,2026-07-18 18:27:50,Train 12229 me overcrowding bahut hai. H1 coach me kuch aise seat de do.,12229,H1,Overcrowding
COMP_0020,2026-07-14 11:03:31,AC to nahi chala raha hai 12951 train ka coach B2. Bahut garmi ho rahi hai.,12951,B2,AC Failure
COMP_0021,2026-07-11 06:42:31,B2 coach ka AC toot gaya hai aur staff ne koi sahi samadhan nahin kiya.,,B2,Staff Behaviour
COMP_0022,2026-07-12 04:21:32,Train 12626 ki food quality bahut buri thi. Kuch din pehle hi to aisa hi hua tha.,12626,,Food Quality
COMP_0023,2026-06-25 01:17:53,Toilet me pani nahi aa raha hai coach S5 me. Isse lagta hai ki yahaan ki cleanliness ka koi dhyan nahin diya gaya.,,S5,Cleanliness
